"ecosystem"	"package"	"version"	"license"	"license_files"	"status"
"cargo"	"adler2"	"2.0.1"	"0BSD OR MIT OR Apache-2.0"	"adler2_2.0.1__LICENSE-0BSD;adler2_2.0.1__LICENSE-APACHE;adler2_2.0.1__LICENSE-MIT"	"included"
"cargo"	"aho-corasick"	"1.1.5"	"Unlicense OR MIT"	"aho-corasick_1.1.5__COPYING;aho-corasick_1.1.5__LICENSE-MIT"	"included"
"cargo"	"alloc-no-stdlib"	"2.0.4"	"BSD-3-Clause"	"alloc-no-stdlib_2.0.4__LICENSE"	"included"
"cargo"	"alloc-stdlib"	"0.2.4"	"BSD-3-Clause"	""	"missing"
"cargo"	"anyhow"	"1.0.104"	"MIT OR Apache-2.0"	"anyhow_1.0.104__LICENSE-APACHE;anyhow_1.0.104__LICENSE-MIT"	"included"
"cargo"	"atomic-waker"	"1.1.2"	"Apache-2.0 OR MIT"	"atomic-waker_1.1.2__LICENSE-APACHE;atomic-waker_1.1.2__LICENSE-MIT;atomic-waker_1.1.2__LICENSE-THIRD-PARTY"	"included"
"cargo"	"autocfg"	"1.5.1"	"Apache-2.0 OR MIT"	"autocfg_1.5.1__LICENSE-APACHE;autocfg_1.5.1__LICENSE-MIT"	"included"
"cargo"	"base64"	"0.22.1"	"MIT OR Apache-2.0"	"base64_0.22.1__LICENSE-APACHE;base64_0.22.1__LICENSE-MIT"	"included"
"cargo"	"base64"	"0.23.1"	"MIT OR Apache-2.0"	"base64_0.23.1__LICENSE-APACHE;base64_0.23.1__LICENSE-MIT"	"included"
"cargo"	"bit-set"	"0.8.0"	"Apache-2.0 OR MIT"	"bit-set_0.8.0__LICENSE-APACHE;bit-set_0.8.0__LICENSE-MIT"	"included"
"cargo"	"bit-vec"	"0.8.0"	"Apache-2.0 OR MIT"	"bit-vec_0.8.0__LICENSE-APACHE;bit-vec_0.8.0__LICENSE-MIT"	"included"
"cargo"	"bitflags"	"1.3.2"	"MIT/Apache-2.0"	"bitflags_1.3.2__LICENSE-APACHE;bitflags_1.3.2__LICENSE-MIT"	"included"
"cargo"	"bitflags"	"2.13.2"	"MIT OR Apache-2.0"	"bitflags_2.13.2__LICENSE-APACHE;bitflags_2.13.2__LICENSE-MIT"	"included"
"cargo"	"block-buffer"	"0.10.4"	"MIT OR Apache-2.0"	"block-buffer_0.10.4__LICENSE-APACHE;block-buffer_0.10.4__LICENSE-MIT"	"included"
"cargo"	"brotli"	"8.0.4"	"BSD-3-Clause AND MIT"	"brotli_8.0.4__LICENSE.BSD-3-Clause;brotli_8.0.4__LICENSE.MIT"	"included"
"cargo"	"brotli-decompressor"	"5.0.3"	"BSD-3-Clause/MIT"	"brotli-decompressor_5.0.3__LICENSE"	"included"
"cargo"	"bs58"	"0.5.1"	"MIT/Apache-2.0"	"bs58_0.5.1__LICENSE-APACHE;bs58_0.5.1__LICENSE-MIT"	"included"
"cargo"	"byteorder"	"1.5.0"	"Unlicense OR MIT"	"byteorder_1.5.0__COPYING;byteorder_1.5.0__LICENSE-MIT"	"included"
"cargo"	"bytes"	"1.12.1"	"MIT"	"bytes_1.12.1__LICENSE"	"included"
"cargo"	"camino"	"1.2.6"	"MIT OR Apache-2.0"	"camino_1.2.6__LICENSE-APACHE;camino_1.2.6__LICENSE-MIT"	"included"
"cargo"	"cargo_metadata"	"0.19.2"	"MIT"	"cargo_metadata_0.19.2__LICENSE-MIT"	"included"
